0
7
[(4.59,4.89)(6.50,6.28)][(7.26,5.43)(7.80,5.59)][(1.38,5.30)(1.51,6.03)][(3.50,5.49)(3.85,6.44)][(2.83,1.10)(4.47,1.82)][(3.15,6.61)(3.53,7.52)][(3.34,2.36)(4.25,1.35)]
[(4.12,4.55)(6.00,6.78)][(7.42,5.41)(7.54,6.08)][(1.65,5.62)(1.64,6.52)][(3.07,5.36)(4.33,5.94)][(2.82,1.01)(4.73,1.90)][(2.73,6.80)(3.81,7.10)][(3.61,1.87)(4.23,1.19)]
[(3.76,4.05)(5.51,6.96)][(7.70,5.82)(7.46,6.05)][(2.12,5.32)(1.14,6.12)][(2.64,4.95)(3.94,5.92)][(2.32,1.06)(4.47,1.86)][(2.42,6.47)(3.44,7.58)][(3.47,1.75)(3.73,1.68)]
[(4.00,4.55)(5.14,7.46)][(8.16,5.67)(7.26,6.37)][(2.02,5.08)(1.41,5.76)][(3.09,5.42)(4.05,6.38)][(2.04,1.15)(4.08,1.80)][(1.92,6.08)(3.06,8.05)][(3.97,1.30)(3.61,1.38)]
[(4.49,4.36)(5.43,6.96)][(8.55,5.25)(7.09,6.15)][(1.62,4.76)(1.23,5.38)][(3.44,5.28)(3.55,6.88)][(2.31,1.52)(4.56,1.58)][(1.88,6.41)(3.53,7.77)][(4.39,1.77)(3.65,1.54)]
[(4.17,4.76)(4.95,7.42)][(8.10,5.50)(6.94,5.72)][(1.99,4.43)(1.49,4.93)][(3.27,5.72)(3.99,6.38)][(2.53,2.01)(4.42,1.20)][(1.90,6.77)(3.99,7.28)][(3.91,2.10)(3.31,2.04)]
[(4.50,5.19)(4.50,7.86)][(7.62,5.52)(6.47,5.24)][(2.43,4.08)(1.36,5.26)][(3.74,6.22)(3.96,6.82)][(2.70,1.82)(4.79,1.70)][(2.24,6.49)(4.48,7.62)][(4.36,1.89)(3.53,2.28)]
[(4.37,5.00)(4.97,7.38)][(7.72,5.47)(6.35,4.76)][(2.63,3.83)(1.61,4.81)][(3.42,6.28)(3.47,7.22)][(3.06,2.14)(5.28,2.19)][(2.73,6.02)(4.21,7.64)][(4.34,2.06)(3.03,2.76)]
[(4.82,5.08)(4.71,7.63)][(7.87,5.10)(6.33,4.90)][(2.69,4.24)(1.97,5.04)][(2.94,5.97)(3.17,7.65)][(3.12,2.59)(4.79,1.84)][(2.23,5.54)(3.89,8.12)][(4.58,2.10)(3.49,3.22)]
[(4.49,5.04)(4.45,7.20)][(7.82,4.86)(6.53,5.28)][(2.58,4.46)(2.12,4.82)][(2.67,6.14)(3.47,7.23)][(3.53,2.20)(4.52,1.80)][(2.30,5.09)(3.72,7.84)][(4.42,2.38)(3.88,3.43)]
[(4.81,5.48)(3.96,7.67)][(8.32,5.05)(6.80,5.40)][(2.97,4.43)(1.71,5.24)][(2.59,6.02)(3.53,7.08)][(3.25,1.83)(4.04,1.59)][(1.85,5.59)(3.36,7.36)][(4.06,2.72)(3.43,2.93)]
