1
[(4.98,5.06)(5.00,1.00)]
[(5.03,5.17)(3.73,1.08)]
[(5.25,5.36)(2.56,1.61)]
[(5.35,5.46)(1.63,2.63)]
[(5.41,5.65)(1.18,3.75)]
[(5.63,5.66)(0.99,5.00)]
[(5.73,5.77)(1.11,6.25)]
[(5.87,5.92)(1.63,7.39)]
[(5.99,6.15)(2.56,8.28)]
[(6.07,6.16)(3.73,8.99)]
[(6.17,6.37)(5.00,9.17)]
[(6.30,6.50)(6.29,8.90)]
[(6.41,6.56)(7.37,8.30)]
[(6.64,6.67)(8.30,7.46)]
[(6.78,6.87)(8.90,6.25)]
[(6.92,6.94)(9.03,5.00)]
[(6.92,7.08)(8.82,3.73)]
[(7.04,7.23)(8.32,2.58)]
[(7.21,7.36)(7.40,1.64)]
[(7.31,7.56)(6.28,1.11)]
[(7.42,7.59)(5.00,0.95)]
[(7.61,7.76)(3.72,1.17)]
[(7.71,7.82)(2.61,1.61)]
[(7.93,8.01)(1.68,2.58)]
[(7.99,8.09)(1.19,3.75)]
[(8.08,8.30)(0.82,5.00)]
[(8.31,8.35)(1.18,6.30)]
[(8.44,8.53)(1.66,7.35)]
[(8.59,8.73)(2.59,8.31)]
[(8.60,8.83)(3.76,8.88)]
[(8.82,8.97)(5.00,9.19)]
[(8.87,8.98)(6.29,8.85)]
[(9.00,9.24)(7.39,8.27)]
[(9.14,9.36)(8.34,7.38)]
[(9.23,9.45)(8.93,6.25)]
[(9.47,9.58)(9.09,5.00)]
[(9.49,9.62)(8.91,3.73)]
[(9.66,9.78)(8.39,2.63)]
[(9.75,9.96)(7.42,1.69)]
[(9.95,10.12)(6.29,1.19)]
