3
[(2,1)(1.5,2.5)][(20,23)(19,24)][(2,23)(1,22)]
[(3,2)(2.5,3.5)][(19,22)(18,23)][(3,22)(2,21)]
[(4,3)(3.5,4.5)][(18,21)(17,22)][(4,21)(3,20)]
[(5,4)(4.5,5.5)][(17,20)(16,21)][(5,20)(4,19)]
[(6,5)(5.5,6.5)][(16,19)(15,20)][(6,19)(5,18)]
[(7,6)(6.5,7.5)][(15,18)(14,19)][(7,18)(6,17)]
[(8,7)(7.5,8.5)][(14,17)(13,18)][(8,17)(7,16)]
[(9,8)(8.5,9.5)][(13,16)(12,17)][(9,16)(8,15)]
[(10,9)(9.5,10.5)][(12,15)(11,16)][(10,15)(9,14)]
[(11,10)(10.5,11.5)][(11,14)(10,15)][(11,14)(10,13)]
[(12,11)(11.5,12.5)][(10,13)(9,14)][(12,13)(11,12)]
[(13,12)(12.5,13.5)][(9,12)(8,13)][(13,12)(12,11)]
[(14,13)(13.5,14.5)][(8,11)(7,12)][(14,11)(13,10)]
[(15,14)(14.5,15.5)][(7,10)(6,11)][(15,10)(14,9)]
[(16,15)(15.5,16.5)][(6,9)(5,10)][(16,9)(15,8)]
[(17,16)(16.5,17.5)][(5,8)(4,9)][(17,8)(16,7)]
[(18,17)(17.5,18.5)][(4,7)(3,8)][(18,7)(17,6)]
[(19,18)(18.5,19.5)][(3,6)(2,7)][(19,6)(18,5)]
[(20,19)(19.5,20.5)][(2,5)(1,6)][(20,5)(19,4)]
[(21,20)(20.5,21.5)][(1,4)(0,5)][(21,4)(20,3)]
